No,M,AoA,Cl,Cd,Cp
221,0.731996,2.336751,0.724966,0.013696,-1.162026
222,0.734772,2.405016,0.738825,0.015025,-1.216882
223,0.728433,2.316365,0.717003,0.012692,-0.867023
224,0.725416,2.198595,0.689856,0.011644,-0.617383
225,0.718912,2.331457,0.702134,0.011385,-0.691608
226,0.72654,2.016934,0.657888,0.011125,-0.63647
227,0.729088,2.319627,0.718298,0.012865,-0.916464
228,0.73718,2.561128,0.765229,0.017211,-1.250496
229,0.72071,2.021418,0.647714,0.010717,-0.724872
230,0.734671,2.473782,0.750472,0.015539,-1.230074
231,0.725057,2.116514,0.673957,0.0113,-0.638297
232,0.728355,2.668323,0.778028,0.015011,-1.106363
233,0.73474,2.167344,0.698342,0.013364,-1.161433
234,0.724934,1.980243,0.648004,0.010872,-0.674048
235,0.72412,2.093615,0.667883,0.011131,-0.660389
236,0.731883,2.174625,0.695991,0.012689,-1.069189
237,0.729951,2.423576,0.737698,0.013692,-1.0759
238,0.730908,2.44579,0.743292,0.014144,-1.170754
239,0.736804,2.30445,0.72253,0.014898,-1.204188
240,0.724329,2.439925,0.732504,0.012521,-0.609237
241,0.732308,2.000412,0.664545,0.011888,-0.953085
242,0.724177,2.27605,0.701896,0.011776,-0.618569
243,0.736715,2.568117,0.766623,0.017109,-1.251491
244,0.730462,2.123659,0.684574,0.012136,-0.883408
245,0.722873,2.289468,0.701956,0.011654,-0.63624
246,0.729181,2.544203,0.758238,0.014321,-1.098523
247,0.737776,2.692886,0.786699,0.018778,-1.273431
248,0.735229,2.174216,0.699565,0.013524,-1.167894
249,0.723064,2.43394,0.72916,0.012269,-0.606675
250,0.732286,2.233242,0.707109,0.013133,-1.128689
251,0.725138,2.507443,0.746534,0.01303,-0.671715
252,0.730703,2.60305,0.768977,0.015232,-1.21804
253,0.729616,2.04483,0.668654,0.011631,-0.718609
254,0.727132,2.227482,0.698064,0.012025,-0.654097
255,0.728267,2.110643,0.678423,0.011698,-0.661117
256,0.725832,2.205188,0.691748,0.011728,-0.615644
257,0.731494,2.132936,0.688143,0.01238,-0.996656
258,0.723257,2.368563,0.717475,0.012017,-0.614598
259,0.730962,1.67104,0.600674,0.010549,-0.651266
260,0.7294,2.149956,0.687515,0.012063,-0.794561
261,0.717805,2.319255,0.697624,0.011266,-0.709882
262,0.725073,2.474281,0.740393,0.012837,-0.649609
263,0.737705,2.153664,0.698194,0.0141,-1.179136
264,0.729839,2.148111,0.688134,0.012138,-0.844643
265,0.722528,2.098981,0.6658,0.011014,-0.686516
266,0.719432,2.172646,0.673447,0.010998,-0.715389
267,0.725645,2.49971,0.74611,0.013104,-0.708711
268,0.728109,2.373349,0.726821,0.012935,-0.878165
269,0.729336,2.237612,0.703973,0.012484,-0.876293
270,0.736506,2.053043,0.679599,0.013106,-1.151463
271,0.724595,2.187567,0.686296,0.011499,-0.629801
272,0.725618,2.337404,0.716029,0.012267,-0.626311
273,0.729702,2.516794,0.75394,0.014269,-1.119793
274,0.722383,2.410815,0.723828,0.012065,-0.619259
275,0.721652,2.433381,0.726514,0.012049,-0.626098
276,0.724645,1.938467,0.639576,0.010746,-0.688473
277,0.72637,2.122472,0.677493,0.011479,-0.620339
278,0.723465,2.493313,0.741074,0.012629,-0.601596
279,0.734884,2.287458,0.718898,0.014186,-1.191313
280,0.726026,2.248278,0.700056,0.011935,-0.619174
281,0.726103,2.223609,0.695597,0.011844,-0.617793
282,0.727764,2.232357,0.700163,0.012155,-0.698073
283,0.733993,2.495998,0.753367,0.015463,-1.230142
284,0.734871,2.299029,0.720582,0.014248,-1.193379
285,0.734382,2.510569,0.756523,0.015747,-1.236316
286,0.728436,2.478886,0.745389,0.013651,-0.966612
287,0.728538,2.644905,0.774254,0.014878,-1.10763
288,0.724791,2.221588,0.692863,0.011648,-0.620163
289,0.726569,2.231343,0.697997,0.011951,-0.631348
290,0.721235,2.169938,0.67654,0.011115,-0.690827
291,0.724089,2.060858,0.661616,0.011031,-0.669293
292,0.732509,2.21625,0.704413,0.013086,-1.129631
293,0.731778,2.463904,0.746048,0.014482,-1.195912
294,0.731523,2.057225,0.673775,0.012013,-0.925421
295,0.735001,2.343301,0.728201,0.014623,-1.205272
296,0.726472,2.161214,0.684738,0.011641,-0.618553
297,0.724033,2.458668,0.73551,0.012561,-0.605965
298,0.727796,2.719982,0.786487,0.015274,-1.092439
299,0.729879,2.147637,0.688161,0.012145,-0.848713
300,0.725375,2.329409,0.713964,0.012186,-0.617071
301,0.736754,2.273502,0.717324,0.014654,-1.19827
302,0.730854,2.197614,0.698892,0.012586,-0.982914
303,0.735178,2.371337,0.733443,0.014901,-1.211887
304,0.732337,2.420611,0.739736,0.014368,-1.196709
305,0.730111,2.380237,0.730477,0.013461,-1.061601
306,0.728335,1.94426,0.647438,0.011081,-0.631048
307,0.730204,2.119008,0.683408,0.012068,-0.854791
308,0.740731,2.322388,0.727809,0.016443,-1.214619
309,0.724898,2.190907,0.687394,0.011548,-0.624531
310,0.731919,2.20283,0.700936,0.012857,-1.090645
311,0.730768,2.266268,0.711204,0.012939,-1.029671
312,0.7312,2.70129,0.786282,0.016289,-1.254668
313,0.729263,2.038916,0.666877,0.011551,-0.682238
314,0.729745,2.570518,0.762725,0.014677,-1.166127
315,0.729633,2.23915,0.704504,0.01255,-0.904014
316,0.72406,2.208785,0.689237,0.01151,-0.634209
